name,weaknesses,resistances
flutter-mane,"Ghost, Steel","Bug, Dragon, Fighting, Normal"
flygon,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
flying-pikachu,Ground,"Electric, Flying, Steel"
fomantis,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
foongus,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
forretress,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
fraxure,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
frigibax,"Dragon, Fairy, Fighting, Rock, Steel","Electric, Grass, Water"
frillish,"Dark, Electric, Ghost, Grass","Bug, Fighting, Fire, Ice, Normal, Poison, Steel, Water"
froakie,"Electric, Grass","Fire, Ice, Steel, Water"
frogadier,"Electric, Grass","Fire, Ice, Steel, Water"
froslass,"Dark, Fire, Ghost, Rock, Steel","Bug, Fighting, Ice, Normal, Poison"
frosmoth,"Fire, Flying, Rock, Steel","Grass, Ground, Ice"
fuecoco,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
furfrou,Fighting,Ghost
furret,Fighting,Ghost
gabite,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
galarian-articuno,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
galarian-corsola,"Dark, Ghost","Bug, Fighting, Normal, Poison"
galarian-darmanitan-zen-mode,"Fighting, Ground, Rock, Water","Bug, Fairy, Grass, Ice"
galarian-darmanitan,"Fighting, Fire, Rock, Steel",Ice
galarian-darumaka,"Fighting, Fire, Rock, Steel",Ice
galarian-farfetch-039-d,"Fairy, Flying, Psychic","Bug, Dark, Rock"
galarian-linoone,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
galarian-meowth,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
galarian-moltres,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
galarian-mr-mime,"Bug, Dark, Fire, Ghost, Rock, Steel","Ice, Psychic"
galarian-ponyta,"Bug, Dark, Ghost","Fighting, Psychic"
galarian-rapidash,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
galarian-slowbro,"Dark, Ghost, Ground","Fairy, Fighting, Grass, Poison"
galarian-slowking,"Dark, Ghost, Ground","Fairy, Fighting, Grass, Poison"
galarian-slowpoke,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
galarian-stunfisk,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
galarian-weezing,"Ground, Psychic, Steel","Bug, Dark, Dragon, Fairy, Fighting, Grass"
galarian-yamask,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
galarian-zapdos,"Electric, Fairy, Flying, Ice, Psychic","Bug, Dark, Fighting, Grass, Ground"
galarian-zigzagoon,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
gallade,"Fairy, Flying, Ghost","Fighting, Rock"
galvantula,"Fire, Rock","Electric, Fighting, Grass, Steel"
garbodor,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
garchomp,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
gardevoir,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
garganacl,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
gastly,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
gastrodon-east-sea,Grass,"Electric, Fire, Poison, Rock, Steel"
gastrodon-west-sea,Grass,"Electric, Fire, Poison, Rock, Steel"
genesect-burn-drive,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
genesect-chill-drive,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
genesect-douse-drive,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
genesect-shock-drive,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
genesect,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
gengar,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
geodude,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
gholdengo,"Dark, Fire, Ghost, Ground","Bug, Dragon, Fairy, Fighting, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
gible,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
gigalith,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
gimmighoul-chest-form,"Dark, Ghost","Bug, Fighting, Normal, Poison"
gimmighoul-roaming-form,"Dark, Ghost","Bug, Fighting, Normal, Poison"
girafarig,"Bug, Dark","Ghost, Psychic"
giratina-altered-forme,"Dark, Dragon, Fairy, Ghost, Ice","Bug, Electric, Fighting, Fire, Grass, Normal, Poison, Water"
giratina-origin-forme,"Dark, Dragon, Fairy, Ghost, Ice","Bug, Electric, Fighting, Fire, Grass, Normal, Poison, Water"
glaceon,"Fighting, Fire, Rock, Steel",Ice
glalie,"Fighting, Fire, Rock, Steel",Ice
glameow,Fighting,Ghost
glastrier,"Fighting, Fire, Rock, Steel",Ice
gligar,"Ice, Water","Bug, Electric, Fighting, Ground, Poison"
glimmet,"Ground, Psychic, Steel, Water","Bug, Fairy, Fire, Flying, Normal, Poison"
glimmora,"Ground, Psychic, Steel, Water","Bug, Fairy, Fire, Flying, Normal, Poison"
gliscor,"Ice, Water","Bug, Electric, Fighting, Ground, Poison"
gloom,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
gogoat,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
golbat,"Electric, Ice, Psychic, Rock","Bug, Fairy, Fighting, Grass, Ground, Poison"
goldeen,"Electric, Grass","Fire, Ice, Steel, Water"
golduck,"Electric, Grass","Fire, Ice, Steel, Water"
golem,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
golett,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
golisopod,"Electric, Flying, Rock","Fighting, Ground, Ice, Steel, Water"
golurk,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
goodra,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
goomy,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
gorebyss,"Electric, Grass","Fire, Ice, Steel, Water"
gossifleur,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
gothita,"Bug, Dark, Ghost","Fighting, Psychic"
gothitelle,"Bug, Dark, Ghost","Fighting, Psychic"
gothorita,"Bug, Dark, Ghost","Fighting, Psychic"
gourgeist-average-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
gourgeist-large-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
gourgeist-small-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
gourgeist-super-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
grafaiai,"Ground, Psychic","Bug, Fairy, Ghost, Grass, Poison"
granbull,"Poison, Steel","Bug, Dark, Dragon, Fighting"
grapploct,"Fairy, Flying, Psychic","Bug, Dark, Rock"
graveler,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
great-tusk,"Fairy, Flying, Grass, Ice, Psychic, Water","Bug, Dark, Electric, Poison, Rock"
greavard,"Dark, Ghost","Bug, Fighting, Normal, Poison"
greedent,Fighting,Ghost
greninja,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
grimer,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
grimmsnarl,"Fairy, Poison, Steel","Dark, Dragon, Ghost, Psychic"
grookey,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
grotle,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
groudon,"Grass, Ice, Water","Electric, Poison, Rock"
grovyle,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
growlithe,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
grubbin,"Fire, Flying, Rock","Fighting, Grass, Ground"
grumpig,"Bug, Dark, Ghost","Fighting, Psychic"
gulpin,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
gumshoos,Fighting,Ghost
gurdurr,"Fairy, Flying, Psychic","Bug, Dark, Rock"
guzzlord,"Bug, Dragon, Fairy, Fighting, Ice","Dark, Electric, Fire, Ghost, Grass, Psychic, Water"
gyarados,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
hakamo-o,"Dragon, Fairy, Flying, Ice, Psychic","Bug, Dark, Electric, Fire, Grass, Rock, Water"
happiny,Fighting,Ghost
hariyama,"Fairy, Flying, Psychic","Bug, Dark, Rock"
hatenna,"Bug, Dark, Ghost","Fighting, Psychic"
hatterene,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
hattrem,"Bug, Dark, Ghost","Fighting, Psychic"
haunter,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
hawlucha,"Electric, Fairy, Flying, Ice, Psychic","Bug, Dark, Fighting, Grass, Ground"
haxorus,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
heatmor,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
heatran,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Steel"
heliolisk,"Fighting, Ground","Electric, Flying, Ghost, Steel"
helioptile,"Fighting, Ground","Electric, Flying, Ghost, Steel"
heracross,"Fairy, Fire, Flying, Psychic","Bug, Dark, Fighting, Grass, Ground"
herdier,Fighting,Ghost
hippopotas,"Grass, Ice, Water","Electric, Poison, Rock"
hippowdon,"Grass, Ice, Water","Electric, Poison, Rock"
hisuian-arcanine,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Flying, Ice, Normal, Poison"
hisuian-avalugg,"Fighting, Grass, Ground, Rock, Steel, Water","Flying, Ice, Normal, Poison"
hisuian-braviary,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
hisuian-decidueye,"Fairy, Fire, Flying, Ice, Poison, Psychic","Dark, Electric, Grass, Ground, Rock, Water"
hisuian-electrode,"Bug, Fire, Ice, Poison","Electric, Grass, Steel, Water"
hisuian-goodra,"Fighting, Ground","Bug, Electric, Flying, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
hisuian-growlithe,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Flying, Ice, Normal, Poison"
hisuian-lilligant,"Fairy, Fire, Flying, Ice, Poison, Psychic","Dark, Electric, Grass, Ground, Rock, Water"
hisuian-qwilfish,Ground,"Dark, Ghost, Grass, Poison, Psychic"
hisuian-samurott,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
hisuian-sliggoo,"Fighting, Ground","Bug, Electric, Flying, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
hisuian-sneasel,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
hisuian-typhlosion,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
hisuian-voltorb,"Bug, Fire, Ice, Poison","Electric, Grass, Steel, Water"
hisuian-zoroark,Dark,"Bug, Fighting, Ghost, Normal, Poison"
hisuian-zorua,Dark,"Bug, Fighting, Ghost, Normal, Poison"
hitmonchan,"Fairy, Flying, Psychic","Bug, Dark, Rock"
hitmonlee,"Fairy, Flying, Psychic","Bug, Dark, Rock"
hitmontop,"Fairy, Flying, Psychic","Bug, Dark, Rock"
ho-oh,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
honchkrow,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
honedge,"Dark, Fire, Ghost, Ground","Bug, Dragon, Fairy, Fighting, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
hoopa-confined,"Dark, Ghost","Fighting, Normal, Poison, Psychic"
hoopa-unbound,"Bug, Fairy",Psychic
hoothoot,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
hoppip,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
horsea,"Electric, Grass","Fire, Ice, Steel, Water"
houndoom,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
houndour,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
houndstone,"Dark, Ghost","Bug, Fighting, Normal, Poison"
huntail,"Electric, Grass","Fire, Ice, Steel, Water"
hydrapple,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
hydreigon,"Bug, Dragon, Fairy, Fighting, Ice","Dark, Electric, Fire, Ghost, Grass, Psychic, Water"
hypno,"Bug, Dark, Ghost","Fighting, Psychic"
igglybuff,"Poison, Steel","Bug, Dark, Dragon, Ghost"
illumise,"Fire, Flying, Rock","Fighting, Grass, Ground"
impidimp,"Fairy, Poison, Steel","Dark, Dragon, Ghost, Psychic"
incineroar,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
indeedee-female,"Bug, Dark","Ghost, Psychic"
indeedee-male,"Bug, Dark","Ghost, Psychic"
infernape,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
inkay,"Bug, Fairy",Psychic
inteleon,"Electric, Grass","Fire, Ice, Steel, Water"
iron-bundle,"Electric, Fighting, Grass, Rock","Ice, Water"
iron-hands,"Fairy, Ground, Psychic","Bug, Dark, Electric, Rock, Steel"
iron-jugulis,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
iron-leaves,"Bug, Dark, Fire, Flying, Ghost, Ice, Poison","Electric, Fighting, Grass, Ground, Psychic, Water"
iron-moth,"Ground, Psychic, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Poison, Steel"
iron-thorns,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
iron-treads,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
iron-valiant,"Fairy, Flying, Poison, Psychic, Steel","Bug, Dark, Dragon, Fighting, Rock"
iron_boulder,"Bug, Dark, Ghost, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison, Psychic"
ivysaur,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
jangmo-o,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
jellicent,"Dark, Electric, Ghost, Grass","Bug, Fighting, Fire, Ice, Normal, Poison, Steel, Water"
jigglypuff,"Poison, Steel","Bug, Dark, Dragon, Ghost"
jirachi,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
jolteon,Ground,"Electric, Flying, Steel"
joltik,"Fire, Rock","Electric, Fighting, Grass, Steel"
jumpluff,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
jynx,"Bug, Dark, Fire, Ghost, Rock, Steel","Ice, Psychic"
kabuto,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
kabutops,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
kadabra,"Bug, Dark, Ghost","Fighting, Psychic"
kakuna,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
kangaskhan,Fighting,Ghost
karrablast,"Fire, Flying, Rock","Fighting, Grass, Ground"
kartana,"Fighting, Fire","Dragon, Electric, Fairy, Grass, Normal, Poison, Psychic, Rock, Steel, Water"
kecleon,Fighting,Ghost
keldeo,"Electric, Fairy, Flying, Grass, Psychic","Bug, Dark, Fire, Ice, Rock, Steel, Water"
kilowattrel,"Ice, Rock","Bug, Fighting, Flying, Grass, Ground, Steel"
kingambit,"Fighting, Fire, Ground","Dark, Dragon, Flying, Ghost, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
kingdra,"Dragon, Fairy","Fire, Steel, Water"
kingler,"Electric, Grass","Fire, Ice, Steel, Water"
kirlia,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
klang,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
klawf,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
kleavor,"Rock, Steel, Water","Normal, Poison"
klefki,"Fire, Ground","Bug, Dark, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock"
klink,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
klinklang,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
koffing,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
komala,Fighting,Ghost
kommo-o,"Dragon, Fairy, Flying, Ice, Psychic","Bug, Dark, Electric, Fire, Grass, Rock, Water"
koraidon,"Dragon, Fairy, Flying, Ice, Psychic","Bug, Dark, Electric, Fire, Grass, Rock, Water"
krabby,"Electric, Grass","Fire, Ice, Steel, Water"
kricketot,"Fire, Flying, Rock","Fighting, Grass, Ground"
kricketune,"Fire, Flying, Rock","Fighting, Grass, Ground"
krokorok,"Bug, Fairy, Fighting, Grass, Ice, Water","Dark, Electric, Ghost, Poison, Psychic, Rock"
krookodile,"Bug, Fairy, Fighting, Grass, Ice, Water","Dark, Electric, Ghost, Poison, Psychic, Rock"
kubfu,"Fairy, Flying, Psychic","Bug, Dark, Rock"
kyogre,"Electric, Grass","Fire, Ice, Steel, Water"
kyurem,"Dragon, Fairy, Fighting, Rock, Steel","Electric, Grass, Water"
lairon,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
lampent,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
landorus-incarnate-forme,"Ice, Water","Bug, Electric, Fighting, Ground, Poison"
landorus-therian-forme,"Ice, Water","Bug, Electric, Fighting, Ground, Poison"
lanturn,"Grass, Ground","Fire, Flying, Ice, Steel, Water"
lapras,"Electric, Fighting, Grass, Rock","Ice, Water"
larvesta,"Flying, Rock, Water","Bug, Fairy, Fighting, Grass, Ice, Steel"
larvitar,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
latias,"Bug, Dark, Dragon, Fairy, Ghost, Ice","Electric, Fighting, Fire, Grass, Psychic, Water"
latios,"Bug, Dark, Dragon, Fairy, Ghost, Ice","Electric, Fighting, Fire, Grass, Psychic, Water"
leafeon,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
leavanny,"Bug, Fire, Flying, Ice, Poison, Rock","Electric, Fighting, Grass, Ground, Water"
lechonk,Fighting,Ghost
ledian,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
ledyba,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
lickilicky,Fighting,Ghost
lickitung,Fighting,Ghost
liepard,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
lileep,"Bug, Fighting, Ice, Steel","Electric, Normal"
lilligant,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
lillipup,Fighting,Ghost
linoone,Fighting,Ghost
litleo,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Ghost, Grass, Ice, Steel"
litten,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
litwick,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
lokix,"Bug, Fairy, Fire, Flying, Rock","Dark, Ghost, Grass, Ground, Psychic"
lombre,"Bug, Flying, Poison","Ground, Steel, Water"
lopunny,Fighting,Ghost
lotad,"Bug, Flying, Poison","Ground, Steel, Water"
loudred,Fighting,Ghost
lucario,"Fighting, Fire, Ground","Bug, Dark, Dragon, Grass, Ice, Normal, Poison, Rock, Steel"
ludicolo,"Bug, Flying, Poison","Ground, Steel, Water"
lugia,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
lumineon,"Electric, Grass","Fire, Ice, Steel, Water"
lunala,"Dark, Ghost","Fighting, Normal, Poison, Psychic"
lunatone,"Bug, Dark, Ghost, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison, Psychic"
lurantis,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
luvdisc,"Electric, Grass","Fire, Ice, Steel, Water"
luxio,Ground,"Electric, Flying, Steel"
luxray,Ground,"Electric, Flying, Steel"
lycanroc-dusk-form,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
lycanroc-midday-form,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
lycanroc-midnight-form,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
mabosstiff,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
machamp,"Fairy, Flying, Psychic","Bug, Dark, Rock"
machoke,"Fairy, Flying, Psychic","Bug, Dark, Rock"
machop,"Fairy, Flying, Psychic","Bug, Dark, Rock"
magby,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
magcargo,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Flying, Ice, Normal, Poison"
magearna,"Fire, Ground","Bug, Dark, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock"
magikarp,"Electric, Grass","Fire, Ice, Steel, Water"
magmar,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
magmortar,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
magnemite,"Fighting, Fire, Ground","Bug, Dragon, Electric, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
magneton,"Fighting, Fire, Ground","Bug, Dragon, Electric, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
magnezone,"Fighting, Fire, Ground","Bug, Dragon, Electric, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
makuhita,"Fairy, Flying, Psychic","Bug, Dark, Rock"
malamar,"Bug, Fairy",Psychic
mamoswine,"Fighting, Fire, Grass, Steel, Water","Electric, Poison"
manaphy,"Electric, Grass","Fire, Ice, Steel, Water"
mandibuzz,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
manectric,Ground,"Electric, Flying, Steel"
mankey,"Fairy, Flying, Psychic","Bug, Dark, Rock"
mantine,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
mantyke,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
maractus,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
mareanie,"Electric, Ground, Psychic","Bug, Fairy, Fighting, Fire, Ice, Poison, Steel, Water"
mareep,Ground,"Electric, Flying, Steel"
marill,"Electric, Grass, Poison","Bug, Dark, Dragon, Fighting, Fire, Ice, Water"
marowak,"Grass, Ice, Water","Electric, Poison, Rock"
marshadow,"Fairy, Flying, Ghost, Psychic","Bug, Fighting, Normal, Poison, Rock"
marshtomp,Grass,"Electric, Fire, Poison, Rock, Steel"
maschiff,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
masquerain,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
maushold,Fighting,Ghost
mawile,"Fire, Ground","Bug, Dark, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock"
medicham,"Fairy, Flying, Ghost","Fighting, Rock"
meditite,"Fairy, Flying, Ghost","Fighting, Rock"
mega-abomasnow,"Bug, Fighting, Fire, Flying, Poison, Rock, Steel","Electric, Grass, Ground, Water"
mega-absol,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
mega-aerodactyl,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
mega-aggron,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
mega-alakazam,"Bug, Dark, Ghost","Fighting, Psychic"
mega-altaria,"Fairy, Ice, Poison, Steel","Bug, Dark, Dragon, Electric, Fighting, Fire, Grass, Water"
mega-ampharos,"Dragon, Fairy, Ground, Ice","Electric, Fire, Flying, Grass, Steel, Water"
mega-audino,"Poison, Steel","Bug, Dark, Dragon, Ghost"
mega-banette,"Dark, Ghost","Bug, Fighting, Normal, Poison"
mega-beedrill,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
mega-blastoise,"Electric, Grass","Fire, Ice, Steel, Water"
mega-blaziken,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
mega-camerupt,"Ground, Water","Bug, Electric, Fairy, Fire, Poison, Steel"
mega-charizard-x,"Dragon, Ground, Rock","Bug, Electric, Fire, Grass, Steel"
mega-charizard-y,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
mega-diancie,"Grass, Ground, Steel, Water","Bug, Dark, Dragon, Fire, Flying, Normal"
mega-gallade,"Fairy, Flying, Ghost","Fighting, Rock"
mega-garchomp,"Dragon, Fairy, Ice","Electric, Fire, Poison, Rock"
mega-gardevoir,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
mega-gengar,"Dark, Ghost, Ground, Psychic","Bug, Fairy, Fighting, Grass, Normal, Poison"
mega-glalie,"Fighting, Fire, Rock, Steel",Ice
mega-gyarados,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
mega-heracross,"Fairy, Fire, Flying, Psychic","Bug, Dark, Fighting, Grass, Ground"
mega-houndoom,"Fighting, Ground, Rock, Water","Dark, Fire, Ghost, Grass, Ice, Psychic, Steel"
mega-kangaskhan,Fighting,Ghost
mega-latias,"Bug, Dark, Dragon, Fairy, Ghost, Ice","Electric, Fighting, Fire, Grass, Psychic, Water"
mega-latios,"Bug, Dark, Dragon, Fairy, Ghost, Ice","Electric, Fighting, Fire, Grass, Psychic, Water"
mega-lopunny,"Fairy, Fighting, Flying, Psychic","Bug, Dark, Ghost, Rock"
mega-lucario,"Fighting, Fire, Ground","Bug, Dark, Dragon, Grass, Ice, Normal, Poison, Rock, Steel"
mega-manectric,Ground,"Electric, Flying, Steel"
mega-mawile,"Fire, Ground","Bug, Dark, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock"
mega-medicham,"Fairy, Flying, Ghost","Fighting, Rock"
mega-metagross,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
mega-mewtwo-x,"Fairy, Flying, Ghost","Fighting, Rock"
mega-mewtwo-y,"Bug, Dark, Ghost","Fighting, Psychic"
